Product,Quantity,UnitPrice,ShippingAddress,PaymentMethod,OrderStatus,TrackingNumber,ItemsInCart,CouponCode,ReferralSource,TotalPrice,Fraud,Year,Month,Day,DayOfWeek,PricePerItem,LargeCart,HighValueOrder,CouponUsed,WeekendOrder
3,5,570.62,596,2,4,359,7,1,3,2853.1,1,2023,1,4,2,570.62,1,1,1,0
4,2,151.35,512,4,4,1074,3,1,4,302.7,0,2024,8,23,4,151.35,0,0,1,0
6,5,550.68,294,1,0,416,8,0,0,2753.4,1,2024,2,27,1,550.6800000000001,1,1,1,0
0,1,273.19,124,2,3,691,5,1,1,273.19,0,2023,10,15,6,273.19,1,0,1,1
5,4,626.01,407,4,1,245,8,1,0,2504.04,0,2025,5,8,3,626.01,1,1,1,0
4,2,245.86,601,1,4,842,4,1,3,491.72,0,2023,10,23,0,245.86,0,0,1,0
2,1,664.42,642,3,3,1148,6,1,1,664.42,0,2025,6,17,1,664.42,1,0,1,0
3,5,149.55,430,0,4,904,9,0,1,747.75,0,2023,5,12,4,149.55,1,0,1,0
4,2,134.28,574,3,0,665,2,0,0,268.56,0,2025,4,2,2,134.28,0,0,1,0
1,4,509.38,2,1,4,312,6,1,2,2037.52,0,2023,11,21,1,509.38,1,0,1,0
6,5,625.97,164,1,3,1184,9,2,3,3129.85,1,2023,12,29,4,625.97,1,1,1,0
3,3,49.14,518,4,3,495,7,1,0,147.42,0,2024,2,17,5,49.13999999999999,1,0,1,1
3,2,180.5,59,2,2,130,6,0,4,361.0,0,2024,10,15,1,180.5,1,0,1,0
2,3,201.49,573,1,3,951,4,0,1,604.47,0,2023,8,30,2,201.49,0,0,1,0
6,2,393.33,636,2,2,910,3,1,3,786.66,0,2023,3,27,0,393.33,0,0,1,0
5,1,473.96,606,0,1,583,3,0,2,473.96,0,2023,7,17,0,473.96,0,0,1,0
5,2,533.81,583,1,2,46,3,0,0,1067.62,0,2023,1,24,1,533.81,0,0,1,0
6,1,423.4,199,2,4,21,3,0,4,423.4,0,2024,3,2,5,423.4,0,0,1,1
1,1,431.44,565,3,2,725,3,1,1,431.44,0,2025,3,26,2,431.44,0,0,1,0
3,5,224.0,122,0,3,636,9,1,2,1120.0,0,2023,1,23,0,224.0,1,0,1,0
0,5,62.51,350,0,2,87,9,2,3,312.55,0,2023,5,8,0,62.510000000000005,1,0,1,0
3,4,342.95,340,0,1,554,6,0,2,1371.8,0,2024,11,17,6,342.95,1,0,1,1
3,2,49.62,382,4,2,880,2,1,2,99.24,0,2023,1,29,6,49.62,0,0,1,1
4,4,273.25,462,2,0,340,5,0,4,1093.0,0,2025,4,9,2,273.25,1,0,1,0
2,2,230.95,616,4,1,237,3,2,4,461.9,0,2024,10,30,2,230.95,0,0,1,0
3,1,399.98,432,2,1,802,3,2,0,399.98,0,2024,7,24,2,399.98,0,0,1,0
2,5,59.55,138,4,1,931,6,0,4,297.75,0,2024,3,6,2,59.55,1,0,1,0
5,1,472.74,556,4,4,1043,6,2,2,472.74,0,2024,2,22,3,472.74,1,0,1,0
4,4,160.07,339,4,2,736,5,0,0,640.28,0,2023,11,21,1,160.07,1,0,1,0
1,3,423.53,597,1,1,644,6,1,4,1270.59,0,2024,9,20,4,423.53,1,0,1,0
3,2,426.7,569,4,2,581,5,1,4,853.4,0,2025,3,22,5,426.7,1,0,1,1
0,3,500.08,651,2,3,272,6,0,1,1500.24,0,2023,6,30,4,500.08,1,0,1,0
6,5,536.72,517,0,1,1190,10,0,0,2683.6,0,2023,5,1,0,536.72,1,1,1,0
0,1,162.77,581,4,0,848,4,2,1,162.77,0,2023,6,5,0,162.77,0,0,1,0
0,4,576.52,594,1,2,593,5,2,1,2306.08,0,2023,1,7,5,576.52,1,0,1,1
3,2,465.15,22,4,4,472,2,1,1,930.3,0,2024,12,7,5,465.15,0,0,1,1
2,2,534.43,261,2,2,530,5,0,1,1068.86,0,2025,5,8,3,534.43,1,0,1,0
2,2,76.74,222,0,3,1120,7,1,3,153.48,0,2024,10,14,0,76.74,1,0,1,0
2,1,245.89,323,2,1,70,3,1,2,245.89,0,2024,12,19,3,245.89,0,0,1,0
5,3,256.46,405,1,1,990,4,1,4,769.38,0,2025,2,27,3,256.46,0,0,1,0
1,2,344.02,119,4,1,908,4,0,3,688.04,0,2023,8,20,6,344.02,0,0,1,1
3,3,611.45,398,3,2,804,4,0,3,1834.35,0,2023,12,5,1,611.4499999999999,0,0,1,0
5,2,151.66,636,0,0,389,6,0,3,303.32,0,2024,5,6,0,151.66,1,0,1,0
0,3,499.21,551,4,0,129,8,0,3,1497.63,0,2023,12,14,3,499.21000000000004,1,0,1,0
4,2,550.18,651,3,3,853,3,0,4,1100.36,0,2025,4,21,0,550.18,0,0,1,0
0,1,317.25,44,2,3,477,1,1,1,317.25,0,2024,2,10,5,317.25,0,0,1,1
3,4,550.14,87,2,2,197,4,0,3,2200.56,0,2024,6,26,2,550.14,0,0,1,0
1,2,209.94,157,1,3,410,3,0,0,419.88,0,2023,7,19,2,209.94,0,0,1,0
3,2,80.77,260,2,4,370,4,0,2,161.54,0,2023,8,26,5,80.77,0,0,1,1
5,1,30.44,382,1,4,566,1,1,0,30.44,0,2023,10,7,5,30.44,0,0,1,1
6,1,179.22,246,4,0,65,6,0,3,179.22,0,2023,7,31,0,179.22,1,0,1,0
6,1,388.33,238,0,3,769,2,1,1,388.33,0,2024,12,30,0,388.33,0,0,1,0
6,1,586.44,93,4,3,709,5,1,1,586.44,0,2024,9,8,6,586.44,1,0,1,1
4,4,488.78,294,4,3,1129,5,0,2,1955.12,0,2024,5,18,5,488.78,1,0,1,1
0,1,280.25,377,4,2,14,5,2,0,280.25,0,2025,3,27,3,280.25,1,0,1,0
5,3,344.4,337,4,0,764,3,0,1,1033.2,0,2025,6,24,1,344.40000000000003,0,0,1,0
6,3,479.21,338,0,0,692,5,2,4,1437.63,0,2023,5,21,6,479.21000000000004,1,0,1,1
