Feature,Importance
Quantity,0.5515798722189985
TotalPrice,0.21387214226418683
PaymentMethod,0.07426210345955452
ItemsInCart,0.04637091914214267
WeekendOrder,0.020470863764964306
ReferralSource,0.018846400437305455
TrackingNumber,0.018206169946859037
UnitPrice,0.015419029956687957
DayOfWeek,0.011396248685139007
PricePerItem,0.010270960100826267
ShippingAddress,0.006598561662485966
Year,0.006302427902798214
Product,0.002458599523327525
CouponCode,0.0016890721205655914
Day,0.0011141309347717085
Month,0.0010702050760494693
OrderStatus,3.6702002379918916e-05
HighValueOrder,3.559080095720238e-05
LargeCart,0.0
CouponUsed,0.0
