,OrderID,Date,CustomerID,Product,Quantity,UnitPrice,ShippingAddress,PaymentMethod,OrderStatus,TrackingNumber,ItemsInCart,CouponCode,ReferralSource,TotalPrice
count,1200,1200,1200,1200,1200.0,1200.0,1200,1200,1200,1200,1200.0,891,1200,1200.0
unique,1200,,1189,7,,,655,5,5,1200,,3,5,
top,ORD200000,,C98474,Printer,,,533 Main St,Online,Cancelled,TRK37947903,,FREESHIP,Instagram,
freq,1,,2,181,,,8,258,250,1,,313,259,
mean,,2024-03-22 16:58:48,,,2.9458333333333333,356.41275,,,,,5.485,,,1053.9683
min,,2023-01-01 00:00:00,,,1.0,11.39,,,,,1.0,,,11.39
25%,,2023-08-03 18:00:00,,,2.0,186.0625,,,,,4.0,,,410.52
50%,,2024-03-23 00:00:00,,,3.0,364.21,,,,,5.0,,,823.615
75%,,2024-11-08 12:00:00,,,4.0,521.5699999999999,,,,,7.0,,,1578.475
max,,2025-06-30 00:00:00,,,5.0,699.93,,,,,10.0,,,3456.4
std,,,,,1.4075570987983175,197.17714641491233,,,,,2.2819833201028636,,,819.8565583646455
